file_path,target,train_val,video_feature
DC11236Z_2022500_2024500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1741000_1743000_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_3207500_3209500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1505000_1507000_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1145500_1147500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2716500_2718500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2731500_2733500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_978500_980500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2822000_2824000_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_406000_408000_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1157000_1159000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_422500_424500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_895500_897500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2029000_2031000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_345000_347000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2332500_2334500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2829500_2831500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1717000_1719000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2677500_2679500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2836500_2838500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2096000_2098000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1869000_1871000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1311000_1313000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2313000_2315000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1387000_1389000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2079000_2081000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1606500_1608500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2817000_2819000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1060500_1062500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1258500_1260500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2194500_2196500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2205000_2207000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1857500_1859500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1224500_1226500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1318000_1320000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_3144000_3146000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_893500_895500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_566500_568500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_211000_213000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1520500_1522500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_565000_567000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1791000_1793000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_487000_489000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_359500_361500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1437500_1439500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2956500_2958500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2828000_2830000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_739000_741000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_3128500_3130500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1865500_1867500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_832000_834000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2765500_2767500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_3038500_3040500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1690000_1692000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2385000_2387000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_963000_965000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1171000_1173000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_3327500_3329500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2753500_2755500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1277000_1279000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2953000_2955000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2341000_2343000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1273000_1275000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1671500_1673500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2743000_2745000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2328000_2330000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2522000_2524000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_3140000_3142000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_358500_360500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2340000_2342000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_690500_692500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1740000_1742000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_107000_109000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2272000_2274000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2518500_2520500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_570000_572000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_348000_350000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2604500_2606500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1015000_1017000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_565500_567500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2672000_2674000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_784000_786000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_619500_621500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2234500_2236500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1354000_1356000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_935500_937500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_537000_539000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2503500_2505500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1338500_1340500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_393000_395000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_125000_127000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1330000_1332000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1897000_1899000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_176500_178500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1770500_1772500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1168500_1170500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1559500_1561500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1104000_1106000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_446500_448500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2351000_2353000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_3092500_3094500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2314000_2316000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_476500_478500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_3206500_3208500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_3076000_3078000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2164500_2166500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1921500_1923500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1670000_1672000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1187500_1189500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2606000_2608000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2676500_2678500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1126500_1128500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2674500_2676500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_3118500_3120500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1121000_1123000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2407000_2409000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2384500_2386500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1512500_1514500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2587500_2589500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2497000_2499000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_3288000_3290000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1953000_1955000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_895000_897000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1867500_1869500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1622500_1624500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1730000_1732000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1342500_1344500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2623500_2625500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1124500_1126500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_159000_161000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_85000_87000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_388500_390500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2714500_2716500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_3201000_3203000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_536000_538000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_3174500_3176500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_705500_707500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1410000_1412000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_357500_359500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_318000_320000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2998500_3000500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_3032500_3034500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1899000_1901000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2249500_2251500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_3004000_3006000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2218500_2220500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1670500_1672500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1918000_1920000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2359500_2361500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_108500_110500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_549000_551000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2820500_2822500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1408000_1410000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1368500_1370500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1418500_1420500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_3131500_3133500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_916500_918500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_3078000_3080000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1071000_1073000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2187000_2189000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_3108500_3110500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2043500_2045500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_963500_965500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1053500_1055500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2582500_2584500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1412000_1414000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_881500_883500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_580000_582000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2691000_2693000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_3207000_3209000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_165000_167000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_3246500_3248500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_790500_792500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1858500_1860500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2930000_2932000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_3296500_3298500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_865000_867000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_545500_547500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2020500_2022500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2155500_2157500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_3193000_3195000_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1509500_1511500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_568500_570500_500__0.npy,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
